CellID,X,Y,cluster_name
196,3314.396484,562.7701416,APC T help
197,3197.848877,562.6283569,IDO-1+ Tumor APCs
198,3502.194336,564.3516846,IDO-1+ Tumor APCs
199,3772.494385,566.086853,Proliferating Tumor APCs
200,2751.772217,565.6984253,APC T help
201,3389.224854,566.7058105,APC T help
202,2595.514893,567.1914063,Proliferating Tumor APCs
203,4091.828369,567.0171509,Treg
204,3644.868896,566.732666,CD31+TAM
205,2450.503906,568.8876953,TAM
206,2624.93042,569.1582031,IDO-1+ Tumor APCs
207,3810.020508,568.6530762,Tumor APCs
208,2190.239746,570.7260132,Proliferating Tumor APCs
209,2240.675293,570.4932861,Tumor APCs
210,2325.575439,570.5801392,APC T help
211,3168.408447,571.8309937,IDO-1+ Tumor APCs
212,4060.224365,573.9293823,CD31+TAM
213,2567.085693,573.3146362,Proliferating Tumor APCs
214,3058.426758,574.7209473,Proliferating Tumor APCs
215,2504.582031,575.6528931,IDO-1+ Tumor APCs
216,3724.413574,574.902771,Tcyt
217,2896.202393,575.5848999,None2 Immune/cancer Artefacts
218,2691.383301,577.6350708,APC T help
219,3410.839844,577.6265259,Tcyt
220,2951.262207,578.828186,Treg
221,2646.468262,579.6904907,CD31+TAM
222,3603.863281,579.7802734,IDO-1+ Tumor APCs
223,2784.457031,580.5047607,CD31+TAM
224,3284.719727,581.5245972,Inflammatory Monocytes
225,3436.38623,582.5613403,CD31+TAM
226,3537.0896,581.8730469,Proliferating Tumor APCs
227,2416.895752,582.9367065,IDO-1+ Tumor APCs
228,2537.864746,583.1199951,Proliferating Tumor APCs
229,3981.192139,584.2355957,CD31+TAM
230,2610.248047,587.3342285,IDO-1+ Tumor APCs
231,3568.608887,588.7079468,IDO-1+ Tumor APCs
232,4238.70459,587.2979126,TAM
233,2261.619629,588.6275635,IDO-1+ Tumor APCs
234,2748.476074,588.7203979,CD31+TAM
235,2714.304443,588.7661133,APC T help
236,3241.053467,588.6356812,B cells
237,3508.104004,590.6105957,TAM
238,3756.80249,589.6220093,Proliferating Tumor APCs
